Utterance,Speaker,Emotion,Dialogue_ID,Utterance_ID
"Great, I'll see you then.",Jade,Joyful,1,17
Ok. Ok. Having a phone has finally paid off.,Chandler,Neutral,1,18
"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""hey, you're not Bob.""",Ross,Neutral,1,19
"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,Joyful,1,20
Oh my god. You are pure evil.,Ross,Joyful,1,21
"Ok, pure evil, horny and alone. I've done this.",Chandler,Joyful,1,22
You know what? I'm not gonna be able to enjoy this.,Monica,Sad,5,1
"Yeah, I know, it's my birthday. We all should be here.",Ross,Sad,5,2
"So, let's go.",Chandler,Neutral,5,3
"Well maybe, you know, maybe we should stay for one song.",Ross,Sad,5,4
"Yeah, I mean, it would be rude to them for us to leave now.",Chandler,Sad,5,5
"You know, the guys are probably having a great time.",Monica,Neutral,5,6
"Come on you guys, one more time.",Joey,Peaceful,6,1
Ok. One.,Phoebe,Neutral,6,2
Nooo.,Joey,Scared,6,3
That was amazing!,Monica,Joyful,6,4
"Excellent, that was excellent.",Ross,Joyful,6,5
I can't believe the guys missed this.,Chandler,Sad,6,6
"What guys? Oh, yeah.",Ross,Neutral,6,7
"Excuse me, you're Monica Geller aren't you?",Steven,Neutral,6,8
Do I know you?,Monica,Neutral,6,9
You used to be my babysitter.,Steven,Neutral,6,10
"Oh my god, little Stevie Fisher? How've you been?",Monica,Joyful,6,11
"Good, good, I'm a lawyer now.",Steven,Joyful,6,12
You can't be a lawyer. You're eight.,Monica,Sad,6,13
"Listen, it was nice to see you. I gotta run backstage.",Steven,Joyful,6,14
"Uh, wait, backstage?",Monica,Neutral,6,15
"Oh, yeah, my firm represents the band.",Steven,Neutral,6,16
Ross.,Ross,Neutral,6,17
Chandler.,Chandler,Neutral,6,18
"How are you? Look, you guys wanna meet the group? Come on. So, are you one of the ones who fooled around with my dad?",Steven,Joyful,6,19
"Hey Rach, wanna hear the new song I'm thinkin' of singing this afternoon? I wrote it this morning in the shower.",Phoebe,Joyful,2,1
Ok.,Rachel,Peaceful,2,2
"I'm in the shower and I'm writing a song. Stop me if you've heard it. My skin is soapy, and my hair is wet, and Tegrin spelled backward is Nirget.",Phoebe,Peaceful,2,3
"Uh, Rachel, sweetheart, could I see ya for a minute?",Terry,Neutral,2,4
What's up?,Rachel,Powerful,2,5
F.Y.I.. I've decided to pay a professional musician to play in here on Sunday afternoons. Her name is Stephanie... something. She's supposed to be very good.,Terry,Neutral,2,6
But what about Phoebe?,Rachel,Mad,2,7
"Rachel, it's not that your friend is bad, it's that she's so bad, she makes me want to put my finger through my eye into my brain and swirl it around.",Terry,Neutral,2,8
"Ok, ok, so you're not a fan, but I mean, come on, you cannot do this to her.",Rachel,Mad,2,9
Uh--,Terry,Scared,2,10
"Oh, no no no no. Oh no no no no. I have to do this to her?",Rachel,Mad,2,11
"Lather, rinse, repeat, and lather, rinse, repeat, and lather, rinse, repeat, as needed.",Phoebe,Joyful,2,12
"You know, I don't think we brought enough stuff. Did you forget to pack the baby's anvil?",Chandler,Scared,3,1
"It's gonna be worth it. It's a known fact that women love babies, all righ? Women love guys who love babies. It's that whole sensitive thing. Quick, aim him at that pack o' babes over there. Maybe one of them will break away. No, no wait, for get them, we got one, hard left. All right, gimme the baby.",Joey,Joyful,3,2
"No, I got him.",Chandler,Neutral,3,3
"No, seriously.",Joey,Scared,3,4
"Oh, seriously you want him?",Chandler,Scared,3,5
Hello.,Caroline,Neutral,3,6
Hello.,Chandler,Neutral,3,7
And who is this little cutie pie?,Caroline,Joyful,3,8
"Well, don't, don't think me immodest, but, me?",Chandler,Scared,3,9
You wanna smell him?,Joey,Joyful,3,10
I assume we're talking about the baby now.,Caroline,Peaceful,3,11
"Oh, yeah. He's got that great baby smell. Get a whiff of his head.",Joey,Joyful,3,12
I think my uterus just skipped a beat.,Caroline,Joyful,3,13
What'd I tell you? What'd I tell you?,Joey,Joyful,3,14
I think it's great you guys are doing this.,Caroline,Joyful,3,15
"Well, we are great guys.",Chandler,Powerful,3,16
"You know, my brother and his boyfriend have been trying to adopt for three years. What agency did you two go through?",Caroline,Peaceful,3,17
Hey.,Rachel,Neutral,5,1
"Oh, hi.",Phoebe,Neutral,5,2
Here. I thought you might be cold.,Rachel,Peaceful,5,3
Thank you.,Phoebe,Joyful,5,4
"Whoa, look at you, you did pretty well.",Rachel,Powerful,5,5
"Eight dollars and 27 cents. But not really, 'cause I put in the first two, just to, you know, get the ball rolling, and to make myself feel better.",Phoebe,Sad,5,6
Do you?,Rachel,Neutral,5,7
"No. This whole like playing-for-money thing is so not good for me. You know, I don't know, when I sang ""Su-Su-Suicide"", I got a dollar seventy-five. But then, ""Smelly Cat"", I got 25 cents and a condom. So you know, now I just feel really bad for Smelly Cat.",Phoebe,Sad,5,8
"Well, you know, honey, I don't think everybody gets Smelly Cat. You know, I mean, if all you've ever actually had are healthy pets, then, whoosh!",Rachel,Neutral,5,9
"It's not even that. I used to do my songs because it made me happy, but now it's like, it's just all about the money.",Phoebe,Sad,5,10
"Well, people missed you in there. And in fact, there was actually a request for ""Smelly Cat"".",Rachel,Neutral,5,11
Really? From who?,Phoebe,Scared,5,12
"Well, from me. And I know it's not your big money song, but it's my favorite.",Rachel,Peaceful,5,13
"Hi. Uh, did I accidentally drop a condom in your case? It's kind of an emergency.",Kid,Scared,5,14
Yeah. Here you go.,Phoebe,Neutral,5,15
"Thanks a lot. Hey Christine, I got it!",Kid,Joyful,5,16
"OK, what is it about me? Do I not look fun enough? Is there something. . . repellant. . . about me?",Chandler,Sad,1,1
"So, how was the party?",Rachel,Neutral,1,2
"Well it couldn't have been worse. A woman literally passed through me. OK, so what is it, am I hideously unattractive?",Chandler,Sad,1,3
"No, you are not, you are very attractive. You know what, I go through the exact same thing. Every time I put on a little weight, I start questioning everyting.",Phoebe,Neutral,1,4
"Woah, woah, I've put on a little weight?",Chandler,Scared,1,5
"No, not wieght... y'know, more like insulation.",Phoebe,Neutral,1,6
"Chandler, I'm unemployed and in dire need of a project. Ya wanna work out? I can remake you.",Monica,Powerful,1,7
"Oh, you know, I would, but that might get in the way of my lying around time.",Chandler,Sad,1,8
Please.,Monica,Neutral,1,9
C'mon. Let her. Yeah.,#ALL#,Neutral,1,10
"Alright, OK, alright. But if we put on spandex and my boobs are bigger than yours, I'm goin' home.",Chandler,Scared,1,11
"Your boobs are fine. Look, I never should have said anything. Come here. Come here. Oh, can't make.... hands... meet....",Phoebe,Joyful,1,12
"I don't know if Monica told you but this is the first date I've gone on since my divorce so, if I seem a little nervous, I am.",Michael,Scared,5,1
How long do cats live?,Rachel,Scared,5,2
I'm sorry?,Michael,Neutral,5,3
"Cats, how long do they live figuring you don't... y'know, throw 'em under a bus or something?",Rachel,Neutral,5,4
"Um, maybe 15, 16 years.",Michael,Neutral,5,5
That's just great.,Rachel,Mad,5,6
"Um, cheers.",Michael,Joyful,5,7
"Oh, right, clink.",Rachel,Neutral,5,8
"Monica told you I was cuter that this, didn't she?",Michael,Sad,5,9
"Oh, no, Michael, it's not you. I'm sorry, it's just, it's this thing. It's probably not as bad as it sounds but this friend of mine is, is getting a cat with his girlfriend.",Rachel,Sad,5,10
"Oh, that does sound. . .Ahh.",Michael,Neutral,5,11
I mean he just started going out with her.,Rachel,Neutral,5,12
"Is this guy, uhh, an old boyfriend?",Michael,Neutral,5,13
"Ah, hah-hah-hah-ho, yeah, he wishes. Oh, I'm sorry, look at me. OK, Michael, let's talk about you.",Rachel,Neutral,5,14
Alright.,Michael,Neutral,5,15
"OK, OK. So, you ever get a pet with a girlfriend?",Rachel,Neutral,5,16
"So, I figured it out.",Phoebe,Neutral,6,1
What?,Joey,Scared,6,2
Why Scott doesn't want to sleep with me. It's 'cause I'm not sexy enough.,Phoebe,Sad,6,3
"Phoebe, that's crazy. When I first met you, you know what I said to Chandler? I said, ""Excellent butt, great rack.""",Joey,Powerful,6,4
"Really? That's so sweet. I mean, I'm officially offended but, sweet.",Phoebe,Joyful,6,5
"Phoebs look, if you want to know what the deal is, you're just gonna have to ask him.",Joey,Powerful,6,6
"You're right, you're right. Ah, you are so yumm.",Phoebe,Joyful,6,7
"I mean, it's a cat, y'know, it's a cat. Why can't they get one of those bugs, y'know, one of those fruitflies, those things that live for like a day or something? What're they called, what're they called, what're they called?",Rachel,Peaceful,7,1
Fruitflies?,Michael,Neutral,7,2
Yes! Thank you.,Rachel,Joyful,7,3
"So, would you like any dessert?",Waiter,Neutral,7,4
"No! No dessert, just a check, please.",Michael,Peaceful,7,5
"Oh, you're not having fun, are you?",Rachel,Sad,7,6
"No, no, I am, but only because for the last hour and a half I've been playing the movie Diner in my head.",Michael,Sad,7,7
"Oh, look at me, look at me. Oh, I'm on a date with a really great guy, all I can think about is Ross and his cat and his... Julie. I just want to get over him. gosh, why can't I do that?",Rachel,Sad,7,8
"Oy. Look, I've been through a divorce, trust me you're gonna be fine. You just can't see it now because you haven't had any closure.",Michael,Sad,7,9
"Yeah! Closure. That's what it is, that's what I need. God, you're brilliant! Why didn't I think of that? How do I get that?",Rachel,Joyful,7,10
"Well, you know, there's no one way really, it's just, you know, whatever it takes so that you can finally say to him, ""I'm over you.""",Michael,Neutral,7,11
"Closure, that's what it is. Closure. Hello, excuse me. Excuse me, hel. . . woo",Rachel,Powerful,7,12
Hang on.,Guy,Neutral,7,13
"Hello, excuse me.",Rachel,Neutral,7,14
What.,Guy,Scared,7,15
"Hi, I'm sorry, I need to borrow your phone for just one minute.",Rachel,Powerful,7,16
I'm talkin'!,Guy,Mad,7,17
"I can see that. I... just one phone call, I'll be very quick, I'll even pay for it myself. OK, you're bein' a little weird about your phone.",Rachel,Neutral,7,18
"Alright, fine. I'll call you back.",Guy,Neutral,7,19
Thank you. OK. Machine. Just waiting for the beep.,Rachel,Peaceful,7,20
Good.,Michael,Neutral,7,21
"Ross, hi, it's Rachel. I'm just calling to say that um, everything's fine and I'm really happy for you and your cat who, by the way, I think you should name Michael. And, you know, ya see there I'm thinking of names so obviously, I am over you. I am over you and that, my friend, is what they call closure.",Rachel,Mad,7,22
"No, no, no, no, no, no No. Monica, it's Sunday morning. I'm not running on a Sunday.",Chandler,Mad,8,1
Why not?,Monica,Neutral,8,2
Because it's Sunday. It's God's day.,Chandler,Powerful,8,3
"OK, if you say stop, then we stop.",Monica,Neutral,8,4
"OK, stop.",Chandler,Powerful,8,5
"No, c'mon, we can't stop, c'mon, we've got three more pounds to go. I am the energy train and you are on board. Woo-woo, woo-woo, woo-woo Woo.",Monica,Powerful,8,6
Hey Joey.,Phoebe,Neutral,10,1
Hey Phoebs.,Joey,Neutral,10,2
How come you're watching a rabbi play electric guitar?,Phoebe,Neutral,10,3
I can't find the remote. Thank you.,Joey,Sad,10,4
"So, Scott asked me to come over for lunch today and I did.",Phoebe,Neutral,10,5
And?,Joey,Neutral,10,6
And we did.,Phoebe,Joyful,10,7
"All right Phoebs, way to go.",Joey,Joyful,10,8
Yay me.,Phoebe,Joyful,10,9
"So, so how did it happen?",Joey,Joyful,10,10
"Well, I finally took your advice and asked him what was going on.",Phoebe,Neutral,10,11
And what did he say?,Joey,Neutral,10,12
"He said that, um, he understands how sex can be like, a very emotional thing for a woman and he was just afraid that I was gonna get all, y'know, like, 'ohh, is he gonna call me the next day' and, y'know, 'where is this going' and, ya know, blah-la-la-la-la. So he said he wanted to hold off until he was prepared to be really serious.",Phoebe,Neutral,10,13
Wow.,Joey,Joyful,10,14
"Yeah, so I said, ""OK, relax please,"" y'know, I mean, sex can be just about two people right there in the moment, y'know, it's, if he wants to see me again he can call and if not, that's fine too. So after a looooot of talking. . . I convinced him.",Phoebe,Joyful,10,15
"Let me get this straight. He got you to beg to sleep with him, he got you to say he never has to call you again, and he got you thinking this was a great idea.",Joey,Joyful,10,16
Um-hum.,Phoebe,Joyful,10,17
This man is my God.,Joey,Joyful,10,18
Hi.,Rachel,Neutral,11,1
I didn't get a cat.,Ross,Sad,11,2
"Oh, that's um, interesting.",Rachel,Neutral,11,3
"No, no it's not interesting. OK, it's very, very not interesting. In fact it's actually 100 percent completely opposite of interesting.",Ross,Mad,11,4
"Alright, I got it Ross.",Rachel,Neutral,11,5
You had no right to tell me you ever had feelings for me.,Ross,Sad,11,6
What?,Rachel,Sad,11,7
I was doing great with Julie before I found out about you.,Ross,Mad,11,8
"Hey, I was doin' great before I found out about you. You think it's easy for me to see you with Julie?",Rachel,Mad,11,9
Then you should have said something before I met her.,Ross,Mad,11,10
I didn't know then. And how come you never said anything to me.,Rachel,Mad,11,11
There was never a good time.,Ross,Sad,11,12
"Right, you, you only had a year. We only hung out every night.",Rachel,Sad,11,13
"Not, not, not every night. You know, and... and it's not like I didn't try, Rachel, but things got in the way, y'know? Like, like Italian guys or ex-fiances or, or, or Italian guys.",Ross,Sad,11,14
"Hey, there was one Italian guy, OK, and do you even have a point?",Rachel,Mad,11,15
"The point is I... I don't need this right now, OK. It, it's too late, I'm with somebody else, I'm happy. This ship has sailed.",Ross,Mad,11,16
"Yeah, what're you saying, you just sort of put away feelings or whatever the hell it was you felt for me?",Rachel,Mad,11,17
"Hey, I've been doin' it since the ninth grade, I've gotten pretty damn good at it.",Ross,Mad,11,18
"Alright, fine, you go ahead and you do that, alright Ross.",Rachel,Mad,11,19
Fine.,Ross,Mad,11,20
'Cause I don't need your stupid ship.,Rachel,Mad,11,21
Good.,Ross,Mad,11,22
Good.,Rachel,Mad,11,23
"And ya know what, now I've got closure.",Rachel,Mad,11,24
Try the bottom one.,Ross,Peaceful,11,25
"Monica, it's 6:30 in the morning. We're not working out, it's over.",Chandler,Powerful,12,1
"No way, with one pound to go, c'mon. We're workin', we're movin', we're in the zone we're groovin'.",Monica,Powerful,12,2
"OK, I don't, I don't mind the last pound. OK, in fact I kind of like the last pound. OK, so don't make me do anything that I'll regret.",Chandler,Mad,12,3
"Ooh, what'cha gonna do, fat boy, huh? What?",Monica,Joyful,12,4
"Nothing, except tell you, uh, I think it's wonderful how much energy you have.",Chandler,Peaceful,12,5
"Well, thanks.",Monica,Joyful,12,6
"I mean, especially considering how tough it's been for you to find work.",Chandler,Neutral,12,7
"Well, you know.",Monica,Neutral,12,8
"You know, I mean, you can't tell your parents you were fired because they'd be disappointed.",Chandler,Neutral,12,9
Uh-huh.,Monica,Sad,12,10
And it's not as if you have a boyfriend's shoulder to cry on.,Chandler,Neutral,12,11
"Well no, but um.",Monica,Sad,12,12
"I mean, if it were me, I think I'd have difficulty just getting out of bed at all.",Chandler,Neutral,12,13
"Y'know, I try to stay positive. . .",Monica,Sad,12,14
"So, you feel like goin' for a run?",Chandler,Neutral,12,15
Alright.,Monica,Neutral,12,16
"Because, you know, you don't have to. If you want, you could just take a nap right here.",Chandler,Neutral,12,17
OK. Just for a little while.,Monica,Neutral,12,18
OK.,Chandler,Joyful,12,19
"Ooh, ooh, ooh, ooh, ooh. Ugly Naked Guy is decorating his tree. Oh my God, you should see the size of his Christmas Balls.",Phoebe,Joyful,1,1
Hey.,Joey,Neutral,1,2
Hey.,Chandler,Neutral,1,3
Hey.,Rachel,Neutral,1,4
"Hey, how much did you guys tip the super this year?",Joey,Neutral,1,5
"Yeah, we were gonna give fifty, but if you guys gave more, we don't wanna look bad.",Chandler,Neutral,1,6
"Oh, actually this year we just made him homemade cookies.",Monica,Neutral,1,7
And twenty-five it is.,Chandler,Joyful,1,8
You gave him cookies?,Joey,Neutral,1,9
"Money is so impersonal. Cookies says someone really cares. . . Alright, we're broke, but cookies do say that.",Monica,Neutral,1,10
I can see that. A plate of brownies once told me a limerick.,Phoebe,Neutral,1,11
"Phoebs, let me ask you something, were, were these, uh, funny brownies?",Chandler,Scared,1,12
"Not especially. But you know what, I think they had pot in them.",Phoebe,Neutral,1,13
"So you guys, who else did you tip with cookies?",Ross,Neutral,1,14
"Uhh, the mailman, the super.",Rachel,Neutral,1,15
"Oh, and the newspaper delivery guy.",Monica,Peaceful,1,16
Oh my God.,Joey,Scared,1,17
What?,Rachel,Scared,1,18
"Uhhh, I don't think you're gonna like this.",Joey,Scared,1,19
"Ooh, goooosh, ooh, these are cookies smashed in the sports section.",Rachel,Mad,1,20
"Oh look, and he did my crossword puzzle.",Monica,Mad,1,21
"Yeah, but not very well, unless 14-across, 'Gershwin musical' actually is bitemebitemebitemebiteme.",Ross,Mad,1,22
Esther Livingston. Gone.,Grandmother,Neutral,3,1
"Hi, Phoe.",Grandmother,Neutral,3,2
Hi Gram. Whatcha doin'?,Phoebe,Joyful,3,3
"Oh, just updating the phonebook.",Grandmother,Neutral,3,4
"Um, gram, um, can I see the pictures of my dad again?",Phoebe,Scared,3,5
"Oh. Oh, sure, sure, uh, uh, how come?",Grandmother,Scared,3,6
"Just, you know, to see... um.",Phoebe,Scared,3,7
"Oh, sure, yeah. This is the one of you father in a meadow, and, uh, helping a little boy fly a kite, and here he is at a graduation. . . another graduation. . . another graduation.",Grandmother,Joyful,3,8
"OK, is this really my father?",Phoebe,Scared,3,9
Is it really your fa--I can't... well of course it is.,Grandmother,Scared,3,10
"OK, I smell smoke. Maybe that's 'cause someone's pants are on fire.",Phoebe,Mad,3,11
"Look, I. . .",Grandmother,Scared,3,12
"Ya know, in all the years that we have been grandmother and granddaughter, you have never lied to me.",Phoebe,Powerful,3,13
"Alright, that is not your father, that's just a picture of a guy in a frame.",Grandmother,Sad,3,14
Oh God.,Phoebe,Sad,3,15
"It was your mother's idea. Ya know, she didn't want you to know your real father because it hurt her so much when he left, and, I didn't want to go along with it, but, well then she died and, and it was harder to argue with her. Not impossible, but harder.",Grandmother,Sad,3,16
"Alright, so, what, he's not a famous tree surgeon? And then, I guess, OK, he doesn't live in a hut in Burma where there's no phones?",Phoebe,Mad,3,17
"Last I heard, he was a pharmacist somewhere upstate.",Grandmother,Neutral,3,18
"OK, that makes no sense. Why would the villagers worship a pharmacist?",Phoebe,Sad,3,19
Honey.,Grandmother,Neutral,3,20
Oh.,Phoebe,Sad,3,21
"Anyway, that's all I know. That, and this. This is the real him.",Grandmother,Sad,3,22
Oh.,Phoebe,Neutral,3,23
"Ya know I remember my father, all dressed up in the red suit, the big black boots, and the patent leather belt, sneakin around downstairs. He didn't want anybody to see him but he'd be drunk so he'd stumble, crash into something and wake everybody up.",Chandler,Sad,4,1
"Well, that doesn't sound like a very merry Christmas.",Rachel,Sad,4,2
Who said anything about Christmas?,Chandler,Neutral,4,3
Hi.,Monica,Neutral,4,4
"Hey, anyone hear from Phoebe yet?",Ross,Neutral,4,5
"No, nothin'.",Rachel,Neutral,4,6
I hope she's OK.,Monica,Scared,4,7
"Yeah, I know exactly what she's goin' through.",Joey,Peaceful,4,8
How do you know exactly what she's going through?,Monica,Sad,4,9
She told us.,Joey,Neutral,4,10
So whaddya got there Monica?,Chandler,Neutral,4,11
Just some stuff for the party.,Monica,Neutral,4,12
"Yeah, what're you guys doin' here, aren't you supposed to be Christmas shopping?",Ross,Neutral,4,13
"You guys haven't gotten your presents yet? Tomorrow's Christmas Eve, what're ya gonna do?",Monica,Neutral,4,14
Don't you have to be Claymation to say stuff like that?,Chandler,Joyful,4,15
"Oh, by the way Mon, I don't think the mailman liked your cookies. Here are the ornaments your mom sent.",Rachel,Neutral,4,16
"Well, maybe the mailman liked the cookies, we just didn't give him enough.",Monica,Neutral,4,17
"Monica, pigeons learn faster that you.",Joey,Joyful,4,18
"Hey, Rach, you know what? I think, I think I know what'll make you feel better. How 'bout you make a list about me.",Ross,Peaceful,4,19
"Wha... forget it Ross, no, I am not gonna stand here and make a list of. . .",Rachel,Mad,4,20
C'mon Rachel.,Ross,Neutral,4,21
"OK, you're whiney, you are, you're obsessive, you are insecure, you're, you're gutless, you know, you don't ever, you don't just sort of seize the day, you know. You like me for what, a year, you didn't do anything about it. And, uh, oh, you wear too much of that gel in your hair.",Rachel,Mad,4,22
"See there, you uhh, alright, ya, you did what I said.",Ross,Scared,4,23
"Yeah, and you know what? You're right, I do feel better, thank you Ross.",Rachel,Joyful,4,24
"Yeah, um, in Albany, can I have the number of Frank Buffay. . . OK, um, in Ithica. . . alright, um, Saratoga. . . Oneonta. Alright, you know what, you shouldn't call youself information.",Phoebe,Scared,5,1
Hey.,Grandmother,Neutral,5,2
"Hello grandma, if that is in fact your real name.",Phoebe,Neutral,5,3
"C'mon now Phoe, don't still be mad at me. How's it going?",Grandmother,Peaceful,5,4
"Well, not so good. Upstate's pretty big, he's pretty small, you do the math.",Phoebe,Neutral,5,5
"Well, I think you're better off without him. Oh honey, I know he's your daddy but, but to me he's still the irresponsible creep who knocked up your mom and stole her Gremlin.",Grandmother,Scared,5,6
"No I just, just wanted to know who he was, ya know.",Phoebe,Neutral,5,7
"I know. OK, I wasn't completely honest with you when I told you that, uh, I didn't know exactly where he lived.",Grandmother,Sad,5,8
Whattaya mean?,Phoebe,Scared,5,9
"He lives at 74 Laurel Drive in Middletown. If you hit the Dairy Queen, you've gone too far. You can take my cab.",Grandmother,Powerful,5,10
Wow. Thank you.,Phoebe,Peaceful,5,11
"Now, remember, nobody else drives that cab.",Grandmother,Neutral,5,12
"Uh-huh, got it. Ooh, I'm gonna see my dad. Wish me luck, Grandpa! Commercial",Phoebe,Peaceful,5,13
Phoebe here with the cab yet?,Joey,Neutral,6,1
"Yeah, she, she brought the invisible cab. . . hop in.",Chandler,Mad,6,2
"Well she better get here soon, the outlet stores close at 7.",Joey,Scared,6,3
"Hey, don't worry. I figure it'll be 2 hours to Phoebe's dad's house, they'll meet, they'll chat, they'll swap life stories, we'll still have plenty of time.",Chandler,Scared,6,4
"Hey, here she comes.",Joey,Joyful,6,5
Hey.,Chandler,Neutral,6,6
Hey.,Joey,Neutral,6,7
Hey.,Phoebe,Neutral,6,8
Hey.,Joey,Neutral,6,9
"Can you believe this. In, like, two hours I'm gonna have a dad. Eeeshk.",Phoebe,Joyful,6,10
Eeeshk.,Chandler,Joyful,6,11
"Yeah, big stuff.",Joey,Peaceful,6,12
"OK, let's go.",Phoebe,Neutral,6,13
OK.,Chandler,Neutral,6,14
"Alright, here, you have to hold this.",Phoebe,Powerful,6,15
"OK. Brake left, gas right?",Chandler,Scared,6,16
"Uh-huh, yeah, that's my cheat sheet.",Phoebe,Peaceful,6,17
Where's my seat belt?,Chandler,Scared,6,18
"Oh, no no, that side doesn't have one, the paramedics had to cut through it.",Phoebe,Peaceful,6,19
Hey!,Chandler,Scared,6,20
Hey.,Joey,Scared,6,21
"C'mon, just tell me, please, please.",Ross,Scared,7,1
"For the sixteenth time, no... I do not think you're obsessive.",Monica,Mad,7,2
"Oh, gosh, it's hot in here.",Rachel,Mad,7,3
"Rach, get the heat. Ross, could you turn the heat down please?",Monica,Peaceful,7,4
"Sure. By the way, there's a difference between being obsessive and. . .",Ross,Neutral,7,5
"Ross, the heat!",Monica,Mad,7,6
"Fine, OK! Heat, heat, heat, and I'm the obsessive one. OK, this way is on, so this is. . . off.",Ross,Scared,7,7
Did you just break the radiator?,Rachel,Mad,7,8
"No, no, I was turnin' the knob and, and. . . here it is.",Ross,Scared,7,9
Well put it back.,Monica,Mad,7,10
"It uhh, it won't go back.",Ross,Scared,7,11
I'll call the super.,Rachel,Mad,7,12
"Here, let me try.",Monica,Peaceful,7,13
"Oh, oh that's right, I forgot about your ability to fuse metal.",Ross,Joyful,7,14
"Hey, it's Funny's cousin, Not Funny.",Monica,Mad,7,15
"Hi, Mr. Treeger. Hi, it's Rachel Green from upstairs. Yes, somebody, uh, broke our knob on the radiator and it's really hot in here. Yes, it's, it's hot enough to bake cookies. Well, do you think we could have a new one by 6? Wha t, no, no, Tuesday, we can't wait until Tuesday, we're having a party tonight.",Rachel,Scared,7,16
"OK, tip the man.",Ross,Neutral,7,17
"No, if he doesn't like our cookies, too bad, I am not gonna be blackmailed. Look if worse comes to worse, it gets a little warm, we'll call it a theme party.",Monica,Sad,7,18
"Hey, here's a theme: Come on in, live like bacon.",Ross,Joyful,7,19
"Ooh, this is it, 74.",Phoebe,Peaceful,8,1
"Oh, so that's what this is for.",Chandler,Neutral,8,2
"Wow, this is it, I'm gonna meet my dad. This is like the biggest thing ever, huh.",Phoebe,Joyful,8,3
Yeah.,Chandler,Neutral,8,4
Sure is.,Joey,Neutral,8,5
"OK, here I go. I'm goin' in.",Phoebe,Scared,8,6
Alright.,Chandler,Neutral,8,7
Good luck Phoebs.,Joey,Neutral,8,8
"OK, here I go. . . here I go. . . I'm goin'.",Phoebe,Scared,8,9
OK.,Phoebe,Neutral,10,1
How far'd ya get?,Joey,Joyful,10,2
Mailbox.,Phoebe,Neutral,10,3
"Alright, we're gettin' closer.",Chandler,Joyful,10,4
Uh-huh.,Phoebe,Neutral,10,5
"Phoebs, what's goin' on?",Joey,Peaceful,10,6
"No, it's just like, ya know, it's a whole mess of stuff, ya know. It's like, yesterday, ya know, my dad was this, like, famous Burma tree surgeon guy and, ya know, now he's a, a pharmacist guy and. . .",Phoebe,Scared,10,7
"Well, maybe he's, maybe he's this really cool pharmacist guy.",Joey,Powerful,10,8
"Yeah, maybe, yeah. You know, and, and I'll knock on the door and, and he'll hug me and I'll have a dad. Ya know and I'll, I'll go to his pharmacy and everyone will be really nice to me 'cause, you know, I'm Franks daughter.",Phoebe,Joyful,10,9
"Well, so why not go knock?",Chandler,Peaceful,10,10
"Well, 'cause, I mean, what if, what if he's not this great dad guy? I mean, what if, what if he's just still the dirtbag who ran out on my mom and us? You know what? I've already lost a fake dad this week and I don't think I'm ready to lose a real one.",Phoebe,Scared,10,11
"Phoebs, that's OK. You took a big step today.",Joey,Peaceful,10,12
Yeah?,Phoebe,Neutral,10,13
"Yeah, and someday when you're ready, you'll make it past the hedges.",Chandler,Peaceful,10,14
"Yeah, and when you do, he'll be lucky to have you.",Joey,Peaceful,10,15
You guys. I'm sorry about your shopping.,Phoebe,Sad,10,16
"Oh, that's OK, we'll figure something out.",Chandler,Peaceful,10,17
"Uh, listen Phoebs, I know you're not goin' in there but do you think it'd be alright if I went in and used his bathroom? Oh, that's fine, never mind. Cool, snow, kinda like a blank canvas.",Joey,Neutral,10,18
"Ho, ho, ho, holy crap is it hot in here!",Chandler,Scared,11,1
"Really, hey, you mind if I turn the heat down?",Joey,Joyful,11,2
"Hey, we could have used that kind of thinkin' earlier.",Monica,Sad,11,3
"Hey, Phoebs, how'd it go.",Ross,Joyful,11,4
"Oh, I couldn't go in.",Phoebe,Sad,11,5
"Honey, I'm sorry.",Monica,Powerful,11,6
Are you OK?,Ross,Sad,11,7
"Yeah, yeah, no it's OK 'cause, I mean, I know he's there, so, that's enough for now.",Phoebe,Peaceful,11,8
"Hey, guys, it's after midnight, merry Christmas everyone.",Chandler,Joyful,11,9
"Hey, Monica, the knob was broken so I just turned it off from underneath, I hope that's alright.",Joey,Joyful,11,10
"Rach, these are for you.",Joey,Neutral,12,1
Wiper blades. I don't even have a car.,Rachel,Scared,12,2
"No, but with this new car smell, you'll think you do.",Joey,Joyful,12,3
"OK, Phoebs, your turn.",Chandler,Neutral,12,4
"Ahh, toilet seat covers! Is that what you were doing while I was getting gas?",Phoebe,Scared,12,5
Uh-huh.,Joey,Joyful,12,6
You guuuyys.,Phoebe,Sad,12,7
"And for Ross, Mr. Sweet-tooth.",Joey,Neutral,12,8
You got me a cola drink?,Ross,Scared,12,9
"And, a lemon lime.",Chandler,Neutral,12,10
"Well this, this is too much, I feel like I should get you another sweater.",Ross,Mad,12,11
And last but not least.,Chandler,Joyful,12,12
They're ribbed for your pleasure.,Joey,Joyful,12,13
"Ok. Here's his diaper bag, and his uh, Mr. Winky, and uh...oh, him. Hi!",Ross,Neutral,1,1
So how did everything go?,Carol,Neutral,1,2
